split,run_id,bucket,start_ts,end_ts,label,event_count,sequence,score,model_label,start_time,end_time
all,verify_checkout_discount_delay_001,278,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,281,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,282,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,283,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,285,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,286,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,289,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,292,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,293,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,294,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,295,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,297,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,298,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,299,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,300,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,302,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,303,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,304,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,306,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,307,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,308,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,310,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,311,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,312,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,314,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,315,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,316,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,317,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,319,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,321,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,322,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,323,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,324,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,325,,,0,1,168,0.002135146874934435,0,,
