run_id,total_windows,plotted_windows,untimed_windows,true_fault_windows,predicted_windows,max_score,mean_score
verify_checkout_discount_delay_001,818,362,456,86,279,0.365062415599823,0.2543968027579799
verify_checkout_pod_kill_001,844,361,483,45,287,0.3323039710521698,0.2149577815694492
verify_frontend_cpu_001,859,361,498,95,275,0.3486967980861664,0.2430653302127965
verify_productcatalog_pod_failure_001,809,362,447,77,288,0.36950671672821045,0.2363964313466246
verify_telemetry_loss_001,836,361,475,91,306,0.365062415599823,0.2465535325934682
