offset_seconds,samples,tps,error_rate,avg_ms,p95_ms
1130.0,2.0,0.2,1.0,145263.0,164510.4
1140.0,3.0,0.3,1.0,143555.33333333334,236399.0
1150.0,3.0,0.3,1.0,131473.66666666666,169940.9
1160.0,4.0,0.4,1.0,76461.0,91391.95
1170.0,1.0,0.1,1.0,99430.0,99430.0
1180.0,2.0,0.2,1.0,100615.5,166083.75
1190.0,1.0,0.1,1.0,142086.0,142086.0
1200.0,3.0,0.3,1.0,202608.0,258827.5
1210.0,1.0,0.1,1.0,88524.0,88524.0
1220.0,2.0,0.2,1.0,26991.5,27949.55
1230.0,3.0,0.3,1.0,124149.66666666667,169526.59999999998
1240.0,3.0,0.3,1.0,128260.0,262757.3
1250.0,3.0,0.3,1.0,93040.0,140190.8
1260.0,5.0,0.5,1.0,151567.4,341267.19999999995
1270.0,3.0,0.3,1.0,134038.33333333334,206775.09999999998
1280.0,1.0,0.1,1.0,198529.0,198529.0
1290.0,1.0,0.1,1.0,137451.0,137451.0
1300.0,4.0,0.4,1.0,98982.5,116876.7
1310.0,1.0,0.1,1.0,218636.0,218636.0
1320.0,1.0,0.1,1.0,205846.0,205846.0
1330.0,2.0,0.2,1.0,243489.0,313030.19999999995
1340.0,2.0,0.2,1.0,67931.5,91828.75
1350.0,1.0,0.1,1.0,199986.0,199986.0
1360.0,3.0,0.3,1.0,80083.66666666667,101653.5
1370.0,2.0,0.2,1.0,156763.5,211394.84999999998
1380.0,2.0,0.2,1.0,162828.0,182189.7
1390.0,3.0,0.3,1.0,176101.33333333334,227082.7
1400.0,3.0,0.3,1.0,92611.0,160047.7
1410.0,3.0,0.3,1.0,938679.3333333334,2445717.9
1420.0,1.0,0.1,1.0,105996.0,105996.0
1430.0,2.0,0.2,1.0,124059.0,170479.2
1440.0,2.0,0.2,1.0,28840.0,33474.1
1450.0,1.0,0.1,1.0,23842.0,23842.0
1460.0,1.0,0.1,1.0,224746.0,224746.0
1470.0,5.0,0.5,1.0,76340.4,119851.59999999999
1480.0,2.0,0.2,1.0,133969.5,233808.75
1490.0,3.0,0.3,1.0,112963.0,216676.4
1500.0,4.0,0.4,1.0,127108.0,279710.5999999999
1510.0,1.0,0.1,1.0,45038.0,45038.0
1520.0,1.0,0.1,1.0,110544.0,110544.0
1530.0,6.0,0.6,1.0,68411.5,106795.75
1540.0,1.0,0.1,1.0,125550.0,125550.0
1550.0,1.0,0.1,1.0,48123.0,48123.0
1560.0,3.0,0.3,1.0,977850.6666666666,2323973.1999999997
1570.0,6.0,0.6,1.0,1350863.5,2548876.0
1590.0,3.0,0.3,1.0,99768.66666666667,147962.7
1600.0,2.0,0.2,1.0,1323558.5,2402814.65
1610.0,2.0,0.2,1.0,181728.5,194775.35
1620.0,3.0,0.3,1.0,1671710.3333333333,2497675.0
1630.0,1.0,0.1,1.0,2492773.0,2492773.0
1640.0,3.0,0.3,1.0,1710938.6666666667,2485194.4
1650.0,2.0,0.2,1.0,160744.5,162340.65
1660.0,1.0,0.1,1.0,158823.0,158823.0
1670.0,1.0,0.1,1.0,158852.0,158852.0
1690.0,3.0,0.3,1.0,126837.33333333333,128333.1
1730.0,4.0,0.4,1.0,86932.0,95396.55
1740.0,1.0,0.1,1.0,64491.0,64491.0
1750.0,2.0,0.2,1.0,63171.5,63412.25
1770.0,1.0,0.1,1.0,31544.0,31544.0
1780.0,1.0,0.1,1.0,31845.0,31845.0
7810.0,2.0,0.2,1.0,12571.0,15386.2
7820.0,4.0,0.4,1.0,42026.5,60308.649999999994
7830.0,3.0,0.3,1.0,56342.333333333336,69329.5
7840.0,4.0,0.4,1.0,42306.25,65072.09999999999
7850.0,2.0,0.2,1.0,15277.0,16745.8
7860.0,4.0,0.4,1.0,15597.0,22246.299999999996
7870.0,7.0,0.7,1.0,17243.714285714286,23920.799999999996
7880.0,7.0,0.7,1.0,27192.285714285714,44849.49999999999
7890.0,11.0,1.1,1.0,43080.181818181816,122122.0
7900.0,9.0,0.9,1.0,37074.333333333336,63783.99999999999
7910.0,6.0,0.6,1.0,33312.666666666664,47317.75
7920.0,9.0,0.9,1.0,47060.88888888889,78484.99999999999
7930.0,10.0,1.0,1.0,33732.9,65754.04999999999
7940.0,4.0,0.4,1.0,35746.25,56437.79999999999
7950.0,8.0,0.8,1.0,47366.375,63662.1
7960.0,7.0,0.7,1.0,41459.42857142857,47027.2
7970.0,7.0,0.7,1.0,37286.57142857143,52545.6
7980.0,4.0,0.4,1.0,32661.0,39192.799999999996
7990.0,2.0,0.2,1.0,34429.5,40694.85
8000.0,4.0,0.4,1.0,43898.0,71766.54999999999
8010.0,15.0,1.5,1.0,37582.86666666667,69145.09999999998
8020.0,7.0,0.7,1.0,38399.42857142857,58963.79999999999
8030.0,7.0,0.7,1.0,31421.14285714286,49488.29999999999
8040.0,5.0,0.5,1.0,33542.6,41577.8
8050.0,8.0,0.8,1.0,38621.875,56824.7
8060.0,4.0,0.4,1.0,36527.25,57862.04999999999
8070.0,9.0,0.9,1.0,37867.22222222222,70852.59999999998
8080.0,9.0,0.9,1.0,36889.444444444445,62112.6
8090.0,6.0,0.6,1.0,42570.833333333336,51336.0
8100.0,9.0,0.9,1.0,30049.555555555555,44124.2
8110.0,7.0,0.7,1.0,37377.142857142855,56213.4
8120.0,9.0,0.9,1.0,43394.88888888889,78289.2
8130.0,1.0,0.1,1.0,36162.0,36162.0
8140.0,8.0,0.8,1.0,27027.625,48045.24999999999
8150.0,12.0,1.2,1.0,30895.5,46259.799999999996
8160.0,5.0,0.5,1.0,29575.2,40115.6
8170.0,12.0,1.2,1.0,27933.0,42659.85
8180.0,6.0,0.6,1.0,23929.833333333332,32989.25
8190.0,8.0,0.8,1.0,23251.875,29922.95
8200.0,9.0,0.9,1.0,28661.333333333332,55141.399999999994
8210.0,14.0,1.4,1.0,36603.642857142855,57012.8
8220.0,9.0,0.9,1.0,42873.22222222222,68399.0
8230.0,5.0,0.5,1.0,47464.8,62791.399999999994
8240.0,5.0,0.5,1.0,42747.2,64631.2
8250.0,7.0,0.7,1.0,32773.142857142855,47628.0
8260.0,8.0,0.8,1.0,36334.625,51944.35
8270.0,6.0,0.6,1.0,37159.166666666664,62539.75
8280.0,7.0,0.7,1.0,35086.0,60651.09999999999
8290.0,8.0,0.8,1.0,31514.625,52776.39999999999
8300.0,5.0,0.5,1.0,33947.0,52270.2
8310.0,14.0,1.4,1.0,33816.642857142855,60193.899999999994
8320.0,5.0,0.5,1.0,34861.6,57563.2
8330.0,6.0,0.6,1.0,22710.666666666668,30730.25
8340.0,10.0,1.0,1.0,38009.2,58998.14999999998
8350.0,8.0,0.8,1.0,37393.125,45826.5
8360.0,7.0,0.7,1.0,29519.14285714286,37544.2
8370.0,7.0,0.7,1.0,33214.857142857145,48286.29999999999
8380.0,10.0,1.0,1.0,29800.7,55357.94999999996
8390.0,6.0,0.6,1.0,38496.166666666664,56043.5
8400.0,11.0,1.1,1.0,32381.727272727272,51094.5
8410.0,7.0,0.7,1.0,36264.0,49671.7
8420.0,7.0,0.7,1.0,36136.28571428572,48255.09999999999
8430.0,9.0,0.9,1.0,33474.0,40126.799999999996
8440.0,4.0,0.4,1.0,26006.75,31653.25
8450.0,4.0,0.4,1.0,47635.0,60050.45
8460.0,12.0,1.2,1.0,34816.75,49459.35
8470.0,11.0,1.1,1.0,29124.727272727272,36701.0
8480.0,6.0,0.6,1.0,28563.0,33955.5
8490.0,4.0,0.4,1.0,42765.75,53622.35
8500.0,9.0,0.9,1.0,45377.555555555555,78770.79999999999
8510.0,16.0,1.6,1.0,36249.5625,70598.0
8520.0,2.0,0.2,1.0,35332.5,35416.65
8530.0,5.0,0.5,1.0,27296.8,40248.799999999996
8540.0,9.0,0.9,1.0,31033.0,47359.6
8550.0,9.0,0.9,1.0,30264.88888888889,42787.6
8560.0,5.0,0.5,1.0,30594.6,44488.2
8570.0,9.0,0.9,1.0,39787.88888888889,67548.79999999999
8580.0,10.0,1.0,1.0,34373.2,44309.75
8590.0,8.0,0.8,1.0,31313.0,55330.64999999998
8600.0,6.0,0.6,1.0,33604.166666666664,50404.5
8610.0,8.0,0.8,1.0,30021.0,38449.5
8620.0,8.0,0.8,1.0,42820.625,94107.29999999996
8630.0,10.0,1.0,1.0,32732.1,56761.84999999996
8640.0,5.0,0.5,1.0,28885.4,40543.6
8650.0,8.0,0.8,1.0,31026.75,46357.399999999994
8660.0,11.0,1.1,1.0,30371.0,49976.5
8670.0,9.0,0.9,1.0,34853.77777777778,54673.0
8680.0,5.0,0.5,1.0,29747.0,51368.0
8690.0,9.0,0.9,1.0,34363.77777777778,64482.59999999999
8700.0,9.0,0.9,1.0,36674.11111111111,53821.399999999994
8710.0,4.0,0.4,1.0,24625.0,28841.2
8720.0,9.0,0.9,1.0,31335.555555555555,41475.8
8730.0,7.0,0.7,1.0,27898.14285714286,39951.6
8740.0,12.0,1.2,1.0,29283.0,64756.6
8750.0,5.0,0.5,1.0,32158.2,41743.2
8760.0,14.0,1.4,1.0,31151.35714285714,47682.95
8770.0,9.0,0.9,1.0,30942.11111111111,41409.6
8780.0,4.0,0.4,1.0,37176.5,45932.9
8790.0,7.0,0.7,1.0,23223.571428571428,32955.5
8800.0,11.0,1.1,1.0,33367.63636363636,53455.5
8810.0,10.0,1.0,1.0,22549.2,35810.2
8820.0,8.0,0.8,1.0,27042.875,50294.499999999985
8830.0,10.0,1.0,1.0,27381.8,42189.29999999998
8840.0,9.0,0.9,1.0,33273.22222222222,64458.399999999994
8850.0,8.0,0.8,1.0,30518.75,53405.59999999999
8860.0,15.0,1.5,1.0,38830.933333333334,62778.09999999999
8870.0,3.0,0.3,1.0,44488.333333333336,69815.6
8880.0,7.0,0.7,1.0,26062.0,36172.0
8890.0,8.0,0.8,1.0,35669.125,49072.45
8900.0,3.0,0.3,1.0,30476.0,35661.7
8910.0,7.0,0.7,1.0,19870.85714285714,23598.3
