offset_seconds,samples,tps,error_rate,avg_ms,p95_ms
1300.0,3.0,0.3,1.0,74661.33333333333,196455.8
1310.0,3.0,0.3,1.0,16378.0,28265.3
1320.0,2.0,0.2,1.0,3078.0,3098.7
1330.0,1.0,0.1,1.0,2254.0,2254.0
1340.0,5.0,0.5,1.0,17284.8,39108.2
1360.0,3.0,0.3,1.0,15016.666666666666,26190.1
1370.0,2.0,0.2,1.0,4690.0,5505.4
1380.0,3.0,0.3,1.0,7048.333333333333,12526.099999999999
1390.0,2.0,0.2,1.0,2569.5,2597.85
1400.0,1.0,0.1,1.0,16896.0,16896.0
1410.0,2.0,0.2,1.0,3523.5,3784.05
1420.0,1.0,0.1,1.0,4153.0,4153.0
1430.0,3.0,0.3,1.0,18798.666666666668,33982.1
1440.0,1.0,0.1,1.0,5010.0,5010.0
1450.0,2.0,0.2,1.0,4436.0,5803.1
1460.0,3.0,0.3,0.6666666666666666,6402.333333333333,12546.3
1470.0,3.0,0.3,1.0,3288.6666666666665,6649.4
1480.0,3.0,0.3,1.0,4108.333333333333,7098.799999999999
1490.0,5.0,0.5,1.0,13551.8,30147.6
1500.0,1.0,0.1,1.0,23974.0,23974.0
1510.0,2.0,0.2,1.0,1437.5,1767.35
1520.0,2.0,0.2,1.0,2836.5,3156.45
1530.0,2.0,0.2,1.0,6104.5,7573.75
1540.0,4.0,0.4,1.0,10267.5,23761.84999999999
1550.0,4.0,0.4,1.0,6024.75,7379.6
1560.0,2.0,0.2,1.0,48319.0,78780.4
1570.0,2.0,0.2,1.0,11625.0,18686.4
1580.0,2.0,0.2,1.0,5383.5,9518.55
1590.0,3.0,0.3,1.0,8523.666666666666,13984.9
1600.0,2.0,0.2,1.0,15566.0,26076.2
1610.0,2.0,0.2,1.0,5740.0,6397.9
1620.0,2.0,0.2,1.0,4077.0,6520.5
1630.0,3.0,0.3,1.0,13104.0,20781.4
1640.0,2.0,0.2,1.0,2461106.0,2461335.5
1650.0,6.0,0.6,1.0,1243860.8333333333,2457300.0
1680.0,3.0,0.3,1.0,31169.333333333332,31605.2
1690.0,1.0,0.1,1.0,30942.0,30942.0
1700.0,1.0,0.1,1.0,31618.0,31618.0
1710.0,2.0,0.2,1.0,31022.0,31238.0
1730.0,2.0,0.2,1.0,31374.0,31432.5
1760.0,1.0,0.1,1.0,30736.0,30736.0
7810.0,2.0,0.2,1.0,4346.0,7052.3
7820.0,1.0,0.1,1.0,3827.0,3827.0
7850.0,1.0,0.1,1.0,1402.0,1402.0
7860.0,7.0,0.7,1.0,1182.7142857142858,1487.1
7870.0,5.0,0.5,1.0,1534.2,2082.2
7880.0,11.0,1.1,1.0,2837.909090909091,8307.5
7890.0,3.0,0.3,1.0,2296.0,2906.1
7900.0,5.0,0.5,1.0,3244.0,8788.599999999999
7910.0,5.0,0.5,1.0,1691.6,2067.4
7920.0,11.0,1.1,1.0,2438.6363636363635,6272.0
7930.0,3.0,0.3,1.0,6479.666666666667,15768.699999999999
7940.0,10.0,1.0,1.0,2050.5,5671.249999999994
7950.0,5.0,0.5,1.0,2895.8,6592.999999999999
7960.0,6.0,0.6,1.0,1835.5,3065.75
7970.0,6.0,0.6,1.0,3517.1666666666665,7440.25
7980.0,2.0,0.2,1.0,8082.0,12603.6
7990.0,11.0,1.1,1.0,4277.363636363636,9791.5
8000.0,6.0,0.6,1.0,1550.8333333333333,1721.0
8010.0,12.0,1.2,1.0,2138.4166666666665,5033.499999999995
8020.0,4.0,0.4,1.0,3087.0,5059.999999999999
8030.0,9.0,0.9,1.0,3405.777777777778,9219.999999999998
8040.0,4.0,0.4,1.0,1590.75,1951.25
8050.0,7.0,0.7,1.0,3710.1428571428573,10335.399999999996
8060.0,7.0,0.7,1.0,6376.142857142857,10105.1
8070.0,10.0,1.0,1.0,5425.8,13319.2
8080.0,6.0,0.6,1.0,3579.8333333333335,10384.25
8090.0,9.0,0.9,1.0,2368.222222222222,4907.399999999999
8100.0,5.0,0.5,1.0,2809.4,8105.799999999998
8110.0,7.0,0.7,1.0,2786.0,4827.299999999999
8120.0,3.0,0.3,1.0,9015.666666666666,11475.5
8130.0,14.0,1.4,1.0,3191.9285714285716,7332.549999999999
8140.0,5.0,0.5,1.0,3869.8,11963.199999999997
8150.0,10.0,1.0,1.0,1643.9,3067.2499999999995
8160.0,7.0,0.7,1.0,3773.8571428571427,14034.799999999988
8170.0,9.0,0.9,1.0,3361.5555555555557,9081.999999999996
8180.0,8.0,0.8,1.0,3039.125,8705.399999999998
8190.0,9.0,0.9,1.0,2053.222222222222,5874.999999999997
8200.0,16.0,1.6,1.0,2482.1875,5040.75
8210.0,5.0,0.5,1.0,1756.2,3900.3999999999996
8220.0,8.0,0.8,1.0,4625.125,10001.049999999997
8230.0,4.0,0.4,1.0,2623.5,5709.449999999999
8240.0,5.0,0.5,1.0,3177.8,6596.599999999999
8250.0,11.0,1.1,1.0,5650.727272727273,13592.0
8260.0,5.0,0.5,1.0,2337.8,3505.2
8270.0,8.0,0.8,1.0,2738.375,5946.099999999999
8280.0,6.0,0.6,1.0,3437.6666666666665,7809.25
8290.0,9.0,0.9,1.0,5269.666666666667,10048.4
8300.0,9.0,0.9,1.0,1645.6666666666667,3762.9999999999986
8310.0,5.0,0.5,1.0,4416.0,7671.4
8320.0,9.0,0.9,1.0,3460.1111111111113,8871.4
8330.0,8.0,0.8,1.0,2942.625,9246.599999999995
8340.0,7.0,0.7,1.0,1775.0,3334.8999999999987
8350.0,10.0,1.0,1.0,2723.3,7826.699999999997
8360.0,1.0,0.1,1.0,2132.0,2132.0
8370.0,13.0,1.3,1.0,2499.5384615384614,5630.799999999999
8380.0,9.0,0.9,1.0,2886.1111111111113,6303.2
8390.0,7.0,0.7,1.0,1954.4285714285713,3567.999999999999
8400.0,11.0,1.1,1.0,3977.3636363636365,8999.0
